cudagraph_mode,batch_size,sm_clock,input_len,model_name,kv_cache_lens,delta_total_energy_mJ,decoding_tokens,during_time_iter,repeat_count,avg_power_saturated,energy_power_based_J,avg_gpu_util,avg_memory_util
NONE,16,2130,256,Qwen/Qwen3-8B_prefill,0,5314217,160,1.737,10,502.8877037037038,873.5159413333336,100.0,23.074074074074073
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,256,666615,2800,2.0203,175,317.6703636363636,641.7894356545455,100.0,80.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,257,679681,2800,2.0222,175,315.03830303030304,637.0704563878788,100.0,80.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,258,618734,2800,2.0222,175,309.5472424242424,625.9664336303031,100.0,80.0
FULL,16,2130,256,Qwen/Qwen3-8B_decoding,259,617000,2800,2.0227,175,309.4096666666667,625.8429327666666,100.0,80.0
NONE,16,2295,256,Qwen/Qwen3-8B_prefill,0,6757899,192,1.9549,12,599.2866428571431,1171.545458121429,100.0,25.0
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,256,804687,3200,2.2518,200,351.71658333333335,791.99540235,100.0,82.0
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,257,6397771,3200,2.2541,200,351.7179722222222,792.8074811861112,100.0,82.0
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,258,769730,3200,2.2543,200,351.7764444444444,793.009638711111,100.0,82.0
FULL,16,2422,256,Qwen/Qwen3-8B_decoding,259,6442224,3200,2.2549,200,351.68111111111114,793.0057374444445,100.0,82.0
