cudagraph_mode,batch_size,sm_clock,input_len,model_name,total_energy_based_avg_power_W
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,249.4317878229077
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,243.62567655508468
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int4,249.47173009732617
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,212.95393283147942
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,192.5348520512848
FULL,512,1830,256,JunHowie/Qwen3-8B-GPTQ-Int4,330.0199846182729
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,318.1043821557795
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,303.3178168679975
FULL,128,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,304.6551080211446
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int4,283.57844958516836
FULL,16,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,243.13801791462313
FULL,16,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,255.3931508935335
FULL,8,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,229.17437337346848
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,397.0681781589847
FULL,512,2130,256,JunHowie/Qwen3-8B-GPTQ-Int4,404.4616805624676
FULL,256,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,385.74752701827214
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,371.8703909181427
FULL,64,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,343.6275279988775
FULL,16,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,278.7978870427263
FULL,8,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,252.6190294812219
FULL,8,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,260.79587608859134
FULL,512,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,542.0839458623077
FULL,256,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,521.6689044516091
FULL,128,2392,256,JunHowie/Qwen3-8B-GPTQ-Int4,490.58938906308265
FULL,128,2400,256,JunHowie/Qwen3-8B-GPTQ-Int4,488.06288833229854
FULL,64,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,444.3874063051508
FULL,16,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,348.9007321416793
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int4,305.9001398169669
